"","post_prob_death_CR","post_prob_liberation_CR","trt_death_CR","trt_liberation_CR","trt_interaction_trt_ext_CR_inla","sd_death_CR","sd_liberation_CR","sd_interaction_trt_ext_CR_inla"
"result.357",0.310137816468083,0.999490954510524,0.042,2.43,0.142,0.084,0.077,0.101
"result.358",0.949626352980649,0.999066390762587,-0.136,2.258,0.31,0.083,0.083,0.1
"result.359",0.470425174618717,0.99110977649449,0.006,2.385,0.127,0.084,0.084,0.101
"result.360",0.405137609673139,0.997807150901455,0.022,2.375,0.139,0.089,0.095,0.106
"result.361",0.455260317120056,0.976142499798492,0.01,2.464,0.101,0.087,0.09,0.103
"result.362",0.449277389432497,0.897398091198611,0.011,2.472,0.06,0.084,0.083,0.101
"result.363",0.144163111457762,0.999754885769502,0.089,2.432,0.106,0.084,0.078,0.101
"result.364",0.905052377796342,0.999478315508496,-0.115,2.446,0.298,0.088,0.083,0.104
"result.365",0.265576495677665,0.999737176278339,0.054,2.428,0.14,0.086,0.091,0.103
"result.366",0.246912722931513,0.894747882227147,0.057,2.385,0.014,0.083,0.083,0.1
"result.367",0.614085813254367,0.879545205294319,-0.024,2.407,0.09,0.084,0.078,0.101
"result.368",0.489685841739534,0.98661558188558,0.002,2.413,0.122,0.084,0.078,0.101
"result.369",0.0296554072371775,0.99939409379824,0.163,2.474,0.019,0.086,0.091,0.103
"result.370",0.786749234812281,0.999334502968765,-0.067,2.28,0.248,0.085,0.092,0.102
"result.371",0.331846145846177,0.902838298625414,0.037,2.424,0.036,0.085,0.086,0.102
"result.372",0.535564833671106,0.98358299114023,-0.007,2.383,0.128,0.085,0.087,0.102
"result.373",0.323822466003646,0.989891623477205,0.04,2.445,0.091,0.086,0.091,0.103
"result.374",0.435433434901173,0.998451968295992,0.014,2.436,0.151,0.085,0.083,0.102
"result.375",0.765665012215948,0.999588102408165,-0.061,2.294,0.249,0.084,0.084,0.101
"result.376",0.900856219849513,0.986598041182349,-0.107,2.368,0.231,0.083,0.076,0.1
"result.377",0.739780967511725,0.999962048856689,-0.055,2.361,0.274,0.086,0.081,0.102
"result.378",0.437407265436161,0.987512146642818,0.014,2.454,0.112,0.085,0.083,0.102
"result.379",0.0427460502303415,0.975217303993268,0.146,2.481,-0.035,0.085,0.088,0.101
"result.380",0.626674272021509,0.76734891028577,-0.027,2.434,0.068,0.084,0.079,0.101
"result.381",0.976819020687261,0.987343543350693,-0.172,2.407,0.297,0.087,0.08,0.103
"result.382",0.44148181568773,0.996965240982314,0.012,2.389,0.141,0.083,0.083,0.1
"result.383",0.40830818207369,0.988179643384144,0.02,2.395,0.108,0.085,0.088,0.102
"result.384",0.511326232527631,0.996708261697217,-0.002,2.394,0.154,0.088,0.091,0.104
"result.385",0.949317605955923,0.999999811440468,-0.142,2.214,0.382,0.087,0.09,0.103
"result.386",0.332169872929449,0.99992284286571,0.038,2.505,0.171,0.086,0.087,0.103
"result.387",0.816755739699516,0.994451911673478,-0.077,2.174,0.221,0.085,0.086,0.102
"result.388",0.265468906025149,0.999978955460851,0.053,2.33,0.174,0.084,0.086,0.101
"result.389",0.362375724006086,0.999839033831021,0.03,2.421,0.171,0.086,0.088,0.102
"result.390",0.0926671096124961,0.972704769595602,0.112,2.406,-0.004,0.085,0.093,0.102
"result.391",0.607966284611019,0.990221013187716,-0.023,2.392,0.154,0.085,0.089,0.102
"result.392",0.290332569755471,0.986334491930644,0.047,2.439,0.076,0.084,0.085,0.101
"result.393",0.575383830389544,0.972549483118741,-0.016,2.313,0.125,0.086,0.09,0.103
"result.394",0.500045493030819,0.987004798382734,0,2.422,0.124,0.083,0.078,0.1
"result.395",0.169244002418619,0.998109749765857,0.084,2.561,0.077,0.088,0.084,0.104
"result.396",0.923730280211036,0.908157051141663,-0.122,2.428,0.196,0.085,0.078,0.102
"result.397",0.0670702177675782,0.894472559701096,0.128,2.472,-0.058,0.085,0.092,0.102
"result.398",0.715154832545489,0.985986970248175,-0.048,2.405,0.172,0.085,0.084,0.102
"result.399",0.873470119066115,0.971328496540207,-0.098,2.502,0.204,0.086,0.076,0.103
"result.400",0.847891260478957,0.939700412316443,-0.085,2.363,0.172,0.083,0.079,0.1
"result.401",0.334037047299251,0.971230042326756,0.036,2.483,0.07,0.084,0.079,0.101
"result.402",0.0365255030982242,0.994775785669433,0.151,2.406,-0.007,0.084,0.089,0.101
"result.403",0.84648470991048,0.996179221266971,-0.087,2.393,0.237,0.086,0.081,0.102
"result.404",0.427526893421172,0.978267981554896,0.016,2.456,0.098,0.086,0.089,0.103
"result.405",0.249706016575782,0.910098562164577,0.058,2.487,0.017,0.086,0.088,0.103
"result.406",0.154138043645096,0.988386018607674,0.086,2.478,0.042,0.084,0.078,0.101
"result.407",0.791156481588592,0.994730084877052,-0.069,2.323,0.213,0.086,0.09,0.102
"result.408",0.566878931599023,0.98088368412421,-0.014,2.55,0.129,0.086,0.078,0.102
"result.409",0.405149459031087,0.999271170841287,0.021,2.51,0.157,0.086,0.079,0.103
"result.410",0.59596986225484,0.999774488077759,-0.021,2.472,0.216,0.087,0.079,0.103
"result.411",0.691376171066016,0.998708298298852,-0.043,2.328,0.212,0.086,0.088,0.103
"result.412",0.183870034893707,0.999799565266021,0.076,2.43,0.122,0.084,0.081,0.101
"result.413",0.258692938159157,0.995875818890138,0.056,2.513,0.092,0.086,0.08,0.102
"result.414",0.575229766023977,0.998257703456777,-0.016,2.404,0.179,0.085,0.081,0.102
"result.415",0.219922736022053,0.900691573525378,0.068,2.537,0.004,0.087,0.089,0.104
"result.416",0.601080874905005,0.999365815258685,-0.022,2.473,0.203,0.087,0.083,0.103
"result.417",0.177813800996234,0.9989052201696,0.08,2.47,0.091,0.087,0.089,0.103
"result.418",0.0885739945249313,0.99744451350982,0.117,2.55,0.04,0.086,0.082,0.103
"result.419",0.595829801504221,0.998599797243267,-0.02,2.387,0.188,0.084,0.079,0.101
"result.420",0.355061886602756,0.995739790328612,0.031,2.294,0.118,0.083,0.089,0.1
