"","post_prob_death_CR","post_prob_liberation_CR","trt_death_CR","trt_liberation_CR","trt_interaction_trt_ext_CR_inla","sd_death_CR","sd_liberation_CR","sd_interaction_trt_ext_CR_inla"
"result.1868",0.00950972028810466,0.999982181031686,0.189,2.223,0.042,0.081,0.088,0.099
"result.1869",0.0216133962396837,0.99868252841966,0.168,2.194,0.005,0.083,0.087,0.101
"result.1870",0.0891669185326848,0.999920735351473,0.114,2.29,0.099,0.084,0.09,0.102
"result.1871",1.88556463119513e-07,0.999474497566761,0.391,2.37,-0.203,0.083,0.09,0.101
"result.1872",0.0426855022611887,0.999992508727136,0.144,2.252,0.094,0.084,0.09,0.102
"result.1873",0.0699508149303171,0.999716690954719,0.123,2.239,0.073,0.083,0.088,0.101
"result.1874",0.00650934549105159,0.999223329935325,0.201,2.04,-0.016,0.081,0.085,0.1
"result.1875",0.0790528252399105,0.999996591311444,0.117,2.058,0.125,0.083,0.085,0.101
"result.1876",0.00428694359782069,0.999997718873358,0.215,2.208,0.027,0.082,0.088,0.1
"result.1877",0.0110563598150509,0.999944348728539,0.185,2.158,0.036,0.081,0.088,0.099
"result.1878",0.0347103042635482,0.999999811443154,0.153,2.237,0.091,0.084,0.089,0.102
"result.1879",0.000731845411191185,0.998769529217378,0.264,2.207,-0.089,0.083,0.089,0.101
"result.1880",0.000190052437708134,0.999999811443009,0.294,2.249,-0.029,0.083,0.089,0.101
"result.1881",0.000509833448420717,0.997706654700079,0.275,2.196,-0.112,0.084,0.088,0.102
"result.1882",0.0310366268116415,0.999992504752566,0.152,2.134,0.088,0.081,0.087,0.1
"result.1883",0.0486828622400595,0.999999811442878,0.138,2.154,0.128,0.083,0.087,0.101
"result.1884",0.391495383539519,0.999994423090576,0.023,2.12,0.217,0.083,0.087,0.101
"result.1885",0.000168696342099106,0.999998414000331,0.297,2.183,-0.053,0.083,0.088,0.101
"result.1886",0.172501666722942,0.999999811443193,0.077,2.05,0.177,0.081,0.085,0.1
"result.1887",0.0204639060877584,0.999999811443242,0.166,2.082,0.091,0.081,0.087,0.1
"result.1888",4.66488286760568e-06,0.999386901277685,0.349,2.348,-0.164,0.083,0.091,0.101
"result.1889",0.0132666301775001,0.998212826454999,0.184,2.272,-0.017,0.083,0.09,0.101
"result.1890",0.00223396203862069,0.999993222060039,0.233,2.217,0.004,0.082,0.088,0.1
"result.1891",0.0229454355528067,0.999857012189056,0.164,2.055,0.045,0.082,0.086,0.1
"result.1892",0.345684663578788,0.993810383260864,0.033,2.149,0.11,0.083,0.086,0.101
"result.1893",0.000324622400447919,0.998085593343845,0.279,2.211,-0.112,0.082,0.088,0.1
"result.1894",0.0879105789355062,0.99995311425386,0.112,2.295,0.109,0.082,0.087,0.1
"result.1895",0.00962791468285721,0.996822454912532,0.188,2.185,-0.032,0.08,0.087,0.099
"result.1896",0.000416698615625793,0.998023945780168,0.277,2.264,-0.112,0.083,0.089,0.101
"result.1897",0.00582652673203288,0.999972434748038,0.208,2.145,0.022,0.082,0.087,0.101
"result.1898",0.282959242365032,0.99999981144329,0.046,2.017,0.21,0.081,0.086,0.099
"result.1899",1.52222956577956e-05,0.999996672253305,0.344,2.26,-0.101,0.085,0.092,0.102
"result.1900",0.000197303983332809,0.999929685382445,0.292,2.312,-0.077,0.083,0.088,0.101
"result.1901",0.0122508685897573,0.999996995346795,0.181,2.196,0.062,0.08,0.088,0.099
"result.1902",0.010401273548465,0.999983459120848,0.191,2.162,0.043,0.083,0.088,0.101
"result.1903",0.00168570008021202,0.999999811442828,0.245,2.294,0.023,0.084,0.089,0.101
"result.1904",0.0703159683338929,0.999871787130935,0.12,2.098,0.09,0.081,0.087,0.1
"result.1905",0.0161835029255833,0.999996673917083,0.176,2.206,0.064,0.082,0.088,0.1
