"","post_prob_death_CR","post_prob_liberation_CR","trt_death_CR","trt_liberation_CR","trt_interaction_trt_ext_CR_inla","sd_death_CR","sd_liberation_CR","sd_interaction_trt_ext_CR_inla"
"result.1708",0.149058593651174,0.293413790978556,0.087,2.35,-0.118,0.083,0.091,0.101
"result.1709",0.0521561926092882,0.0744448292129785,0.136,2.477,-0.217,0.084,0.082,0.101
"result.1710",0.0157280648099959,0.0738631076649651,0.182,2.547,-0.264,0.085,0.084,0.102
"result.1711",0.17153374630985,0.135101281017816,0.078,2.261,-0.142,0.082,0.09,0.101
"result.1712",0.0175508390296407,0.0165671365187292,0.174,2.539,-0.294,0.082,0.077,0.1
"result.1713",0.000590808561724852,0.0235058186925139,0.266,2.388,-0.38,0.082,0.088,0.1
"result.1714",0.452675456440198,0.11656098100673,0.01,2.368,-0.078,0.083,0.08,0.101
"result.1715",0.439633805958847,0.00377208419492892,0.012,2.335,-0.166,0.081,0.078,0.099
"result.1716",0.0919252272002662,0.219551183414361,0.108,2.245,-0.152,0.081,0.087,0.1
"result.1717",0.00237119379737287,0.000214716892076861,0.238,2.503,-0.438,0.084,0.093,0.102
"result.1718",0.246534241561676,0.340926516230056,0.056,2.256,-0.08,0.082,0.09,0.1
"result.1719",0.290168621811312,0.0842813511955961,0.046,2.425,-0.124,0.084,0.085,0.101
"result.1720",0.29933454110781,0.107899397807071,0.044,2.361,-0.115,0.083,0.082,0.101
"result.1721",0.00496588174834216,0.000138623197170062,0.214,2.457,-0.422,0.083,0.091,0.101
"result.1722",0.00314833892492913,0.000984192289694374,0.225,2.444,-0.404,0.082,0.086,0.101
"result.1723",0.0228643673887173,0.207890566636989,0.162,2.244,-0.209,0.081,0.086,0.1
"result.1724",0.14522045040783,0.0276912487071951,0.089,2.477,-0.197,0.084,0.079,0.101
"result.1725",0.0178400986646997,0.206872413616498,0.17,2.29,-0.217,0.081,0.088,0.1
"result.1726",0.0042754770891194,0.0377621447732083,0.218,2.535,-0.318,0.083,0.082,0.1
"result.1727",0.0451487965203971,0.203539399458687,0.142,2.474,-0.188,0.083,0.08,0.101
"result.1728",0.856227313390549,0.120211940962258,-0.087,2.286,0.02,0.082,0.078,0.1
"result.1729",0.0279032055600332,0.14250071779801,0.159,2.403,-0.22,0.083,0.089,0.101
"result.1730",0.317868393222109,0.225944325527324,0.04,2.39,-0.083,0.084,0.079,0.101
"result.1731",0.0301840024719566,0.156770545631622,0.148,2.339,-0.205,0.079,0.074,0.097
"result.1732",0.0403942916172907,0.155250614907976,0.149,2.469,-0.206,0.085,0.093,0.102
"result.1733",0.000667739636202641,6.41704039453517e-05,0.264,2.585,-0.481,0.082,0.08,0.1
"result.1734",0.00244977944896182,0.0439405526245178,0.233,2.445,-0.331,0.083,0.089,0.101
"result.1735",0.00468564394768127,0.0401325243755719,0.219,2.544,-0.318,0.084,0.082,0.102
"result.1736",0.0289936083162115,0.0245842916635836,0.156,2.39,-0.269,0.082,0.087,0.1
"result.1737",0.00420873553367913,0.0312180937809536,0.225,2.549,-0.331,0.085,0.089,0.103
"result.1738",0.577675635536908,0.0729331609328597,-0.017,2.485,-0.066,0.085,0.074,0.102
"result.1739",0.261400373968152,0.0230089588675084,0.052,2.164,-0.168,0.081,0.085,0.1
"result.1740",0.00866387775596666,0.0217178090461481,0.195,2.414,-0.312,0.082,0.083,0.1
"result.1741",0.0190593876940228,0.464186258565485,0.167,2.326,-0.172,0.081,0.085,0.099
"result.1742",0.143041668187151,0.0329322995234732,0.084,2.117,-0.192,0.079,0.083,0.098
"result.1743",0.00249834226776483,0.193650507653791,0.238,2.382,-0.288,0.085,0.092,0.103
"result.1744",0.00595105434802993,0.0223849604764017,0.214,2.567,-0.328,0.085,0.082,0.102
"result.1745",0.158147336774589,0.0220188225440618,0.082,2.455,-0.197,0.082,0.08,0.1
"result.1746",0.0450400647792794,0.117893766527193,0.139,2.432,-0.207,0.082,0.078,0.1
"result.1747",0.0124950617825479,0.0173724846619997,0.185,2.394,-0.307,0.083,0.088,0.101
"result.1748",0.196737981068532,0.232561867600548,0.07,2.31,-0.112,0.082,0.09,0.1
"result.1749",0.00517125089237728,0.208172016461873,0.216,2.507,-0.262,0.084,0.08,0.102
"result.1750",0.132484586672039,0.0860354331579986,0.091,2.296,-0.169,0.081,0.086,0.099
"result.1751",0.00820445454644296,0.0548723169968832,0.201,2.515,-0.292,0.084,0.078,0.101
"result.1752",0.0328173950130815,0.0260930272850568,0.153,2.436,-0.264,0.083,0.087,0.101
"result.1753",0.158246231981905,0.259056976914765,0.085,2.529,-0.122,0.085,0.079,0.102
"result.1754",0.0125298383255342,0.574548465708168,0.186,2.432,-0.176,0.083,0.08,0.101
"result.1755",0.445511570964513,0.0879473082711294,0.012,2.365,-0.089,0.083,0.081,0.101
"result.1756",0.133078911661192,0.152767454991015,0.092,2.373,-0.151,0.083,0.087,0.101
"result.1757",4.55582511589841e-05,0.00462980525595547,0.324,2.572,-0.472,0.084,0.088,0.101
"result.1758",0.0121201537203232,0.00216205637100297,0.186,2.448,-0.349,0.083,0.087,0.101
"result.1759",0.00174366011199788,0.0231425966024869,0.242,2.485,-0.355,0.083,0.086,0.101
"result.1760",0.012640507131168,0.0323957245778984,0.184,2.361,-0.291,0.082,0.089,0.101
"result.1761",0.000572416944282418,0.0105939257186192,0.269,2.504,-0.401,0.083,0.088,0.101
"result.1762",0.10608878322584,0.306355569870468,0.103,2.379,-0.132,0.083,0.084,0.1
"result.1763",0.395374465456076,0.0531252924732782,0.022,2.24,-0.116,0.082,0.087,0.101
"result.1764",0.0650075845251994,0.206563742560591,0.125,2.3,-0.172,0.083,0.089,0.101
"result.1765",0.139160805984429,0.0634500895986886,0.088,2.368,-0.175,0.081,0.087,0.099
"result.1766",0.303589901944868,0.151983464001492,0.042,2.381,-0.1,0.081,0.08,0.099
"result.1767",0.0763593261654543,0.0292507841715438,0.117,2.405,-0.226,0.082,0.081,0.1
"result.1768",0.0460678206796738,0.0800210474668449,0.142,2.452,-0.222,0.084,0.086,0.102
"result.1769",0.0190111622313558,0.0730871744284282,0.17,2.355,-0.253,0.082,0.086,0.1
"result.1770",0.00176612321836675,0.0365459840838709,0.244,2.543,-0.346,0.084,0.079,0.101
"result.1771",1.88556095956225e-07,0.0143286347914454,0.399,2.589,-0.524,0.085,0.09,0.102
"result.1772",0.00326550565303207,0.0200416737672356,0.229,2.576,-0.346,0.084,0.08,0.102
"result.1773",0.0124518991594246,0.0869169293654629,0.189,2.527,-0.266,0.084,0.083,0.101
"result.1774",0.119729010722267,0.00784117451386279,0.096,2.46,-0.233,0.081,0.076,0.099
"result.1775",0.0112812745845433,0.108854400953369,0.187,2.412,-0.257,0.082,0.08,0.1
"result.1776",0.0341312507845785,0.0625814273620114,0.147,2.378,-0.234,0.081,0.081,0.099
"result.1777",0.0612921995757101,0.0861943060871999,0.124,2.308,-0.203,0.08,0.083,0.099
"result.1778",0.00116250078838191,0.0689549701376293,0.248,2.439,-0.332,0.081,0.078,0.099
"result.1779",0.0166717859091432,0.575344554420379,0.173,2.35,-0.162,0.081,0.079,0.1
