"","post_prob_death_CR","post_prob_liberation_CR","trt_death_CR","trt_liberation_CR","trt_interaction_trt_ext_CR_inla","sd_death_CR","sd_liberation_CR","sd_interaction_trt_ext_CR_inla"
"result.740",0.953206541854746,0.543290047857685,-0.142,2.333,0.148,0.085,0.086,0.102
"result.741",0.727461173209583,0.438299116210431,-0.051,2.467,0.042,0.085,0.083,0.101
"result.742",0.626127448623133,0.543514876552251,-0.027,2.287,0.033,0.084,0.087,0.101
"result.743",0.546450965610883,0.364047589330907,-0.01,2.521,-0.01,0.087,0.082,0.103
"result.744",0.988210167669237,0.505604893718924,-0.195,2.404,0.196,0.086,0.079,0.103
"result.745",0.460737720520808,0.504558692613485,0.009,2.593,-0.008,0.089,0.089,0.105
"result.746",0.518572316605799,0.426895250139152,-0.004,2.458,-0.006,0.089,0.092,0.105
"result.747",0.90589557556668,0.271315724948604,-0.108,2.253,0.074,0.083,0.085,0.1
"result.748",0.87425346477784,0.431151264582452,-0.094,2.232,0.085,0.083,0.086,0.1
"result.749",0.393024786805516,0.839621801358204,0.023,2.344,0.033,0.084,0.089,0.101
"result.750",0.348118817905927,0.541341892483887,0.035,2.534,-0.029,0.089,0.095,0.106
"result.751",0.504169910000908,0.670347167785117,-0.001,2.543,0.026,0.09,0.087,0.106
"result.752",0.302131027532228,0.498405141049017,0.045,2.502,-0.045,0.087,0.086,0.103
"result.753",0.149369937014824,0.185421504320744,0.089,2.467,-0.139,0.085,0.085,0.102
"result.754",0.239071683059653,0.605369526957561,0.061,2.523,-0.046,0.086,0.082,0.103
"result.755",0.731101960845773,0.585016461625413,-0.052,2.321,0.064,0.084,0.091,0.101
"result.756",0.606512051834819,0.69103594145688,-0.022,2.4,0.051,0.084,0.077,0.101
"result.757",0.767162610709247,0.119212727586492,-0.062,2.44,-0.005,0.085,0.08,0.102
"result.758",0.278701307530434,0.281822561128119,0.051,2.551,-0.083,0.086,0.086,0.103
"result.759",0.801683591847331,0.752654816048245,-0.071,2.324,0.111,0.085,0.083,0.102
"result.760",0.765371604776915,0.548129107594282,-0.061,2.36,0.068,0.085,0.085,0.102
"result.761",0.954791035623659,0.868353518694644,-0.144,2.295,0.208,0.085,0.086,0.102
"result.762",0.32658278706571,0.57835875529238,0.04,2.624,-0.028,0.088,0.077,0.104
"result.763",0.397403715752046,0.131181473089024,0.022,2.473,-0.085,0.085,0.085,0.102
"result.764",0.10296964445536,0.0745524294319677,0.108,2.58,-0.189,0.085,0.08,0.102
"result.765",0.783426168978859,0.72615505444672,-0.066,2.364,0.1,0.084,0.085,0.101
